Iteration 91835, loss 2.5603952203363116
Iteration 224, loss 3.8441102894022925
Iteration 225, loss 3.8441102894022925
Iteration 226, loss 3.96601146043135
Iteration 227, loss 3.865521460431351
Iteration 228, loss 3.865521460431351
Iteration 229, loss 3.7942250000000017
Iteration 230, loss 3.750000000000002
Iteration 231, loss 2.7649429771955587
Iteration 232, loss 2.75754698859778
Iteration 233, loss 2.75754698859778
Iteration 234, loss 2.75754698859778
Iteration 235, loss 2.75754698859778
Iteration 236, loss 2.75754698859778
Iteration 237, loss 2.4146665737753192
Iteration 238, loss 2.4146040114022242
Iteration 239, loss 2.4145155851775417
Iteration 240, loss 1.3584641703550802
Iteration 241, loss 1.7013445965797633
Iteration 242, loss 1.3584641703550802
Iteration 243, loss 1.3584641703550802
Iteration 244, loss 1.2018127625880926
Iteration 245, loss 1.2018127625880926
Iteration 246, loss 1.2018127625880926
Iteration 247, loss 1.2018127625880926
Iteration 248, loss 2.3437131774105535
Iteration 249, loss 2.192094504229497
Iteration 250, loss 2.0923932780645367
Iteration 251, loss 2.0923932780645367
Iteration 252, loss 2.0923932780645367
Iteration 253, loss 2.0923932780645367
Iteration 254, loss 2.163512817633189
Iteration 255, loss 2.2987582927832895
Iteration 256, loss 2.3491163645563584
Iteration 257, loss 2.163126772323346
Iteration 258, loss 2.163126772323346
Iteration 259, loss 2.163126772323346
Iteration 260, loss 1.986735837826355
Iteration 261, loss 1.986735837826355
Iteration 262, loss 2.7011678927884857
Iteration 263, loss 2.1710949699081703
Iteration 264, loss 2.1710949699081703
Iteration 265, loss 1.819781437697897
Iteration 266, loss 1.7448747184807323
Iteration 267, loss 1.980082672871846
Iteration 268, loss 1.4371860028537597
Iteration 269, loss 1.648009173208837
Iteration 270, loss 1.398009173208837
Iteration 271, loss 2.131895880266097
Iteration 272, loss 1.8392346243964919
Iteration 273, loss 2.339234624396491
Iteration 274, loss 1.8682662152730056
Iteration 275, loss 1.709138330010563
Iteration 276, loss 1.209138330010563
Iteration 277, loss 1.9577797803983228
Iteration 278, loss 3.7849255309059413
Iteration 279, loss 7.429396115603195
Iteration 280, loss 7.429396115603195
Iteration 281, loss 7.414604115603195
Iteration 282, loss 5.459687616618437
Iteration 283, loss 5.459687616618437
Iteration 284, loss 2.7768263529067623
Iteration 285, loss 2.4671623085569516
Iteration 286, loss 3.3583011216497334
Iteration 287, loss 2.3596596712619733
Iteration 288, loss 2.7025988758279853
Iteration 289, loss 3.1371684560888724
Iteration 290, loss 3.1371684560888724
Iteration 291, loss 2.5599036711337013
Iteration 292, loss 2.5599036711337013
Iteration 293, loss 2.5599036711337013
Iteration 294, loss 2.314978889923879
Iteration 295, loss 3.0559610232089174
Iteration 296, loss 2.329297943702392
Iteration 297, loss 2.329297943702392
Iteration 298, loss 1.0316555431433865
Iteration 299, loss 1.0316555431433865
Iteration 300, loss 1.7731106226499134
Iteration 301, loss 1.5743872387684106
Iteration 302, loss 1.5743872387684106
Iteration 303, loss 1.5743872387684106
Iteration 304, loss 2.7943760000000024
Iteration 305, loss 1.7943760000000033
Iteration 306, loss 1.801759698824529
Iteration 307, loss 1.316551698824529
Iteration 308, loss 1.9378100404722316
Iteration 309, loss 2.1507974311579905
Iteration 310, loss 2.1507974311579905
Iteration 311, loss 1.2161389180521447
Iteration 312, loss 1.487865533869678
Iteration 313, loss 1.3090735338696784
Iteration 314, loss 1.3090735338696784
Iteration 315, loss 1.3090735338696784
Iteration 316, loss 1.487865533869678
Iteration 317, loss 1.487865533869678
Iteration 318, loss 1.5774200199549584
Iteration 319, loss 1.0922120199549585
Iteration 320, loss 1.0922120199549585
Iteration 321, loss 1.0922120199549585
Iteration 322, loss 2.2753628945305175
Iteration 323, loss 4.274508645038136
Iteration 324, loss 2.2753628945305175
Iteration 325, loss 2.7679668945305176
Iteration 326, loss 3.0291827391053987
Iteration 327, loss 2.5291827391053987
Iteration 328, loss 2.857911898058254
Iteration 329, loss 3.5148178980582547
Iteration 330, loss 3.5148178980582547
Iteration 331, loss 4.342843767610952
Iteration 332, loss 2.344353739105399
Iteration 333, loss 2.772453347087381
Iteration 334, loss 3.6861364547323725
Iteration 335, loss 3.6861364547323725
Iteration 336, loss 3.6861364547323725
Iteration 337, loss 3.6861364547323725
Iteration 338, loss 3.6861364547323725
Iteration 339, loss 3.1861364547323725
Iteration 340, loss 4.67162062508745
Iteration 341, loss 4.172151079815554
Iteration 342, loss 3.015473773990314
Iteration 343, loss 3.015296921540948
Iteration 344, loss 2.515322762588092
Iteration 345, loss 2.6590447141297178
Iteration 346, loss 2.6590447141297178
Iteration 347, loss 2.860647086194914
Iteration 348, loss 3.3444455424202766
Iteration 349, loss 3.3444455424202766
Iteration 350, loss 3.3444455424202766
Iteration 351, loss 2.679841570925832
Iteration 352, loss 3.17261489738214
Iteration 353, loss 3.17261489738214
Iteration 354, loss 3.65782289738214
Iteration 355, loss 3.9860623179057115
Iteration 356, loss 3.9860623179057115
Iteration 357, loss 3.9860623179057115
Iteration 358, loss 3.329031193159522
Iteration 359, loss 2.044376022804446
Iteration 360, loss 2.5295840000000016
Iteration 361, loss 2.0296508138959557
Iteration 362, loss 2.0296508138959557
Iteration 363, loss 2.0296508138959557
Iteration 364, loss 2.0296508138959557
Iteration 365, loss 1.5592348138959566
Iteration 366, loss 1.7814905866993755
Iteration 367, loss 2.087629339010252
Iteration 368, loss 2.0344418461745732
Iteration 369, loss 1.984894036210579
Iteration 370, loss 2.8796578189403146
Iteration 371, loss 2.3796578189403146
Iteration 372, loss 2.094256612383097
Iteration 373, loss 1.8590422951012702
Iteration 374, loss 1.8590422951012702
Iteration 375, loss 1.616110522467457
Iteration 376, loss 1.2024124540541257
Iteration 377, loss 1.382309135474435
Iteration 378, loss 1.453215203887766
Iteration 379, loss 1.453215203887766
Iteration 380, loss 1.453215203887766
Iteration 381, loss 1.7741470221304665
Iteration 382, loss 1.7741470221304665
Iteration 383, loss 1.774147022130466
Iteration 384, loss 1.4448655110652342
Iteration 385, loss 2.193506961452994
Iteration 386, loss 3.0349404175418653
Iteration 387, loss 3.3563252015779
Iteration 388, loss 2.8415332015779007
Iteration 389, loss 3.0275444175418653
Iteration 390, loss 3.927142809559883
Iteration 391, loss 3.427142809559883
Iteration 392, loss 3.427142809559883
Iteration 393, loss 3.427142809559883
Iteration 394, loss 3.427142809559883
Iteration 395, loss 3.512752417541866
Iteration 396, loss 4.155682254380888
Iteration 397, loss 4.155682254380888
Iteration 398, loss 4.484411413333743
Iteration 399, loss 4.984411413333744
Iteration 400, loss 4.528372444012671
Iteration 401, loss 5.342689080498074
Iteration 402, loss 4.844198624409202
Iteration 403, loss 4.344198624409201
Iteration 404, loss 4.844198624409202
Iteration 405, loss 4.844198624409202
Iteration 406, loss 4.344198624409203
Iteration 407, loss 4.344198624409203
Iteration 408, loss 3.344198624409203
Iteration 409, loss 4.344198624409203
Iteration 410, loss 4.344198624409203
Iteration 411, loss 4.344198624409203
Iteration 412, loss 4.344198624409203
Iteration 413, loss 3.344198624409203
Iteration 414, loss 4.344198624409203
Iteration 415, loss 3.3441986244092026
Iteration 416, loss 2.144858659848685
Iteration 417, loss 2.144858659848685
Iteration 418, loss 2.144858659848685
Iteration 419, loss 2.1013078106019085
Iteration 420, loss 2.6013078106019085
Iteration 421, loss 2.1013078106019085
Iteration 422, loss 2.1013078106019085
Iteration 423, loss 2.1013078106019085
Iteration 424, loss 2.1013078106019085
Iteration 425, loss 2.1013078106019085
Iteration 426, loss 2.1013078106019085
Iteration 427, loss 3.0865157611729166
Iteration 428, loss 3.0865157611729166
Iteration 429, loss 2.6004866156492668
Iteration 430, loss 2.6004866156492668
Iteration 431, loss 2.1379115103365796
Iteration 432, loss 2.1379115103365796
Iteration 433, loss 1.8388915103365782
Iteration 434, loss 1.8388915103365782
Iteration 435, loss 1.3388915103365782
Iteration 436, loss 2.0814867076139296
Iteration 437, loss 1.5443760000000015
Iteration 438, loss 1.5443760000000015
Iteration 439, loss 1.5443760000000015
Iteration 440, loss 1.5443760000000015
Iteration 441, loss 1.5443760000000015
Iteration 442, loss 2.544376000000001
Iteration 443, loss 2.3091680000000014
Iteration 444, loss 1.5444827811865485
Iteration 445, loss 1.1525952811865487
Iteration 446, loss 1.1525952811865487
Iteration 447, loss 1.1525952811865487
Iteration 448, loss 1.4811992811865498
Iteration 449, loss 1.5522843734195626
Iteration 450, loss 1.5522843734195626
Iteration 451, loss 1.5521775922330154
Iteration 452, loss 2.051692032035609
Iteration 453, loss 2.051692032035609
Iteration 454, loss 2.051692032035609
Iteration 455, loss 2.051692032035609
Iteration 456, loss 2.1661945928681567
Iteration 457, loss 2.1661945928681567
Iteration 458, loss 2.1661945928681567
Iteration 459, loss 1.804626705223438
Iteration 460, loss 1.9564286051350188
Iteration 461, loss 1.6200221781698685
Iteration 462, loss 1.6200221781698685
Iteration 463, loss 1.6200221781698685
Iteration 464, loss 2.2315900658145873
Iteration 465, loss 2.2315900658145873
Iteration 466, loss 1.8408454188516883
Iteration 467, loss 2.1023665213695146
Iteration 468, loss 1.6534890898642667
Iteration 469, loss 1.6534890898642667
Iteration 470, loss 1.852827149816169
Iteration 471, loss 1.852827149816169
Iteration 472, loss 2.0392103686296235
Iteration 473, loss 1.6102571005051765
Iteration 474, loss 1.7441766250853163
Iteration 475, loss 1.2590053863190445
Iteration 476, loss 1.00118217035508
Iteration 477, loss 1.00118217035508
Iteration 478, loss 1.4863534148224633
Iteration 479, loss 1.4863534148224633
Iteration 480, loss 1.0158274218779388
Iteration 481, loss 1.928770872265699
Iteration 482, loss 2.6077506277983145
Iteration 483, loss 3.792870701910621
Iteration 484, loss 3.792870701910621
Iteration 485, loss 3.137750410475716
Iteration 486, loss 2.843521158952857
Iteration 487, loss 2.343521158952857
Iteration 488, loss 1.843609642188651
Iteration 489, loss 2.772615204561746
Iteration 490, loss 2.2576096307864293
Iteration 491, loss 2.1573515424202765
Iteration 492, loss 2.093716429076308
Iteration 493, loss 1.8512450114022243
Iteration 494, loss 1.0939116649930938
Iteration 495, loss 1.0939116649930938
Iteration 496, loss 1.0939116649930938
Iteration 497, loss 1.3872762330672999
Iteration 498, loss 1.3799428068426167
Iteration 499, loss 1.3799428068426167
Iteration 500, loss 1.3799428068426167
Iteration 501, loss 1.3799428068426167
Iteration 502, loss 1.3799428068426167
Iteration 503, loss 2.8799428068426165
Iteration 504, loss 2.051250403422376
Iteration 505, loss 1.8157384886020496
Iteration 506, loss 2.31516030684475
Iteration 507, loss 1.8151602954425285
Iteration 508, loss 2.564493687460546
Iteration 509, loss 2.564493687460546
Iteration 510, loss 2.564493687460546
Iteration 511, loss 2.8720224433301516
Iteration 512, loss 2.8720224433301516
Iteration 513, loss 2.8720224433301516
Iteration 514, loss 2.245459694853012
Iteration 515, loss 2.1595481210776946
Iteration 516, loss 2.1595481096754727
Iteration 517, loss 2.1595481096754727
Iteration 518, loss 1.417662251522859
Iteration 519, loss 0.9250582515228599
Iteration 520, loss 0.9250582515228599
Iteration 521, loss 1.4252092515228605
Iteration 522, loss 1.5602292515228608
Iteration 523, loss 2.04543725152286
Iteration 524, loss 1.9296354376269074
Iteration 525, loss 1.9296354376269074
Iteration 526, loss 2.2369302188134546
Iteration 527, loss 2.079383645716386
Iteration 528, loss 2.079383645716386
Iteration 529, loss 4.042403645716386
Iteration 530, loss 2.079383645716386
Iteration 531, loss 2.079383645716386
Iteration 532, loss 4.042403645716386
Iteration 533, loss 3.542742218813454
Iteration 534, loss 2.542742264422342
Iteration 535, loss 2.5427422758245632
Iteration 536, loss 2.5427422758245632
Iteration 537, loss 2.5427422758245632
Iteration 538, loss 2.229641011402223
Iteration 539, loss 2.2296410000000026
Iteration 540, loss 2.2296410000000026
Iteration 541, loss 2.414515585177542
Iteration 542, loss 2.2871720070554766
Iteration 543, loss 3.2871720070554766
Iteration 544, loss 2.7871720070554757
Iteration 545, loss 2.50042717035508
Iteration 546, loss 2.50042717035508
Iteration 547, loss 2.50042717035508
Iteration 548, loss 3.414515585177541
Iteration 549, loss 4.914515585177541
Iteration 550, loss 3.9293075851775408
Iteration 551, loss 3.9293075851775408
Iteration 552, loss 2.2320826872682504
Iteration 553, loss 2.5976748112525554
Iteration 554, loss 2.0976748112525554
Iteration 555, loss 2.0976748112525554
Iteration 556, loss 2.201610837072447
Iteration 557, loss 2.201610837072448
Iteration 558, loss 2.201610837072448
Iteration 559, loss 1.7094796215078378
Iteration 560, loss 1.768902276929495
Iteration 561, loss 1.768902276929495
Iteration 562, loss 1.9694800257461977
Iteration 563, loss 2.3629358256813933
Iteration 564, loss 2.3629358256813933
Iteration 565, loss 2.5545633931518514
Iteration 566, loss 2.5545633931518514
Iteration 567, loss 2.7193727015422855
Iteration 568, loss 2.7193727015422855
Iteration 569, loss 2.443974816487357
Iteration 570, loss 1.9442133203597791
Iteration 571, loss 3.1690914860499584
Iteration 572, loss 2.9365655000000013
Iteration 573, loss 2.581126450885178
Iteration 574, loss 1.8869163264063413
Iteration 575, loss 2.1529051995982553
Iteration 576, loss 3.3050238322154772
Iteration 577, loss 2.1529051995982553
Iteration 578, loss 3.3050238322154772
Iteration 579, loss 3.1291188608587097
Iteration 580, loss 3.1291188608587093
Iteration 581, loss 3.143022674325261
Iteration 582, loss 2.2053922991214705
Iteration 583, loss 1.7375948790225366
Iteration 584, loss 2.6752252542263273
Iteration 585, loss 2.8349337133216115
Iteration 586, loss 1.4300978638924826
Iteration 587, loss 2.1305270000000016
Iteration 588, loss 2.1305270000000016
Iteration 589, loss 2.1305270000000016
Iteration 590, loss 2.1305270000000016
Iteration 591, loss 2.1305270000000016
Iteration 592, loss 2.1305270000000016
Iteration 593, loss 2.1305270000000016
Iteration 594, loss 2.1305270000000016
Iteration 595, loss 2.3367550000000024
Iteration 596, loss 2.508151000000002
Iteration 597, loss 2.3367550000000024
Iteration 598, loss 2.3365155851775405
Iteration 599, loss 2.258213585177541
Iteration 600, loss 2.2582135851775407
Iteration 601, loss 2.1167035851775413
Iteration 602, loss 2.1167035851775413
Iteration 603, loss 1.581206366364089
Iteration 604, loss 2.551320366364089
Iteration 605, loss 2.551320366364089
Iteration 606, loss 2.6362633663640884
Iteration 607, loss 2.6092888694098066
Iteration 608, loss 3.5504143663640884
Iteration 609, loss 3.257396000000002
Iteration 610, loss 3.257396000000002
Iteration 611, loss 2.6154330000000026
Iteration 612, loss 2.0371310114022245
Iteration 613, loss 2.6154330000000026
Iteration 614, loss 2.2015840000000026
Iteration 615, loss 2.2015840000000026
Iteration 616, loss 1.537433011402225
Iteration 617, loss 1.679849011402224
Iteration 618, loss 1.679849011402224
Iteration 619, loss 1.4300000000000024
Iteration 620, loss 1.4298490000000021
Iteration 621, loss 2.523312985409168
Iteration 622, loss 1.7740680481213877
Iteration 623, loss 1.7740680481213877
Iteration 624, loss 2.281539548121388
Iteration 625, loss 2.281539548121388
Iteration 626, loss 3.344294485409167
Iteration 627, loss 3.344047698523643
Iteration 628, loss 2.3440477441325305
Iteration 629, loss 2.358537778339195
Iteration 630, loss 2.344276158952858
Iteration 631, loss 1.9447661589528584
Iteration 632, loss 1.9447661589528584
Iteration 633, loss 3.0080680139147224
Iteration 634, loss 2.794576653251747
Iteration 635, loss 1.6307147555326185
Iteration 636, loss 1.6307147555326185
Iteration 637, loss 1.4734333356851592
Iteration 638, loss 1.4734333356851592
Iteration 639, loss 2.6144647796935585
Iteration 640, loss 2.6144647796935585
Iteration 641, loss 1.5725915659008336
Iteration 642, loss 2.443849335685159
Iteration 643, loss 2.529635750507621
Iteration 644, loss 2.529635750507621
